report_date,overall_cpi,mom_change,yoy_inflation,core_inflation,non_core_inflation
2024-01-01,138.15,0.4,6.9,4.8,13.1
2024-02-01,138.34,0.14,6.3,5.1,9.9
2024-03-01,138.66,0.23,5.7,4.8,8.7
2024-04-01,138.4,-0.19,5,4.3,7.3
2024-05-01,139.64,0.9,5,3.4,9.6
2024-06-01,140.23,0.42,4.6,2.8,10
2024-07-01,139.94,-0.21,4.3,2.2,11
2024-08-01,139.87,-0.05,4.4,2.2,10.4
2024-09-01,140.13,0.19,3.6,2,8
2024-10-01,140.44,0.22,2.7,1.8,5.4
2024-11-01,140.81,0.26,2.8,2.1,4.9
2024-12-01,141.66,0.6,3,2.2,5.2
2025-01-01,142.68,0.72,3.3,2,7.1
2025-02-01,143.12,0.31,3.5,1.9,7.7
2025-03-01,143.69,0.4,3.6,2.2,7.4
2025-04-01,144.09,0.28,4.1,2.5,8.4
2025-05-01,144.88,0.55,3.8,2.8,6
2025-06-01,145.58,0.48,3.8,3,6.2
2025-07-01,145.74,0.11,4.1,3.1,7.2
2025-08-01,146.21,0.32,4.5,3,9.2
2025-09-01,146.56,0.24,4.6,2.9,9.6
2025-10-01,146.84,0.19,4.6,2.7,9.9
2025-11-01,147.08,0.16,4.5,2.3,10.1
2025-12-01,148.02,0.64,4.5,2,11.2
2026-01-01,148.96,0.64,4.4,2.2,10.3
2026-02-01,149.2,0.16,4.3,2.1,10.1
2026-03-01,150,0.54,4.4,2.1,10.8
2026-04-01,152.15,1.43,5.6,2.8,13.4
2026-05-01,154.56,1.58,6.7,3.2,16
